ID,ScientistID,Name,Write_Up,InstrumentID
E2KKS1IT,3569NLP3,Experiment_1,This is the write up for Experiment_1.,Instrument_1
3L0RCVE0,BL5SHT0J,Experiment_2,This is the write up for Experiment_2.,Instrument_1
1UBFMQWK,5ZDSL4SK,Experiment_3,This is the write up for Experiment_3.,Instrument_1
SWP7T88N,3QJ2P6DM,Experiment_4,This is the write up for Experiment_4.,Instrument_1
YQ4YVYWS,TMPBOPL7,Experiment_5,This is the write up for Experiment_5.,Instrument_1
YTSPL1TC,NR4B3VDY,Experiment_6,This is the write up for Experiment_6.,Instrument_1
CEJ31WXX,GM4FTHU3,Experiment_7,This is the write up for Experiment_7.,Instrument_1
RFPVVKSR,T5JWHFSW,Experiment_8,This is the write up for Experiment_8.,Instrument_1
FG0T2EA8,ED0JYGSM,Experiment_9,This is the write up for Experiment_9.,Instrument_1
L5J7440P,K4US2YFJ,Experiment_10,This is the write up for Experiment_10.,Instrument_2
BKP2X5S8,Y1273P91,Experiment_11,This is the write up for Experiment_11.,Instrument_2
A24CNLUI,L0NLW2T2,Experiment_12,This is the write up for Experiment_12.,Instrument_2
L6R21N4S,3569NLP3,Experiment_13,This is the write up for Experiment_13.,Instrument_2
GU2IOIX7,BL5SHT0J,Experiment_14,This is the write up for Experiment_14.,Instrument_2
GKVDGGUQ,5ZDSL4SK,Experiment_15,This is the write up for Experiment_15.,Instrument_2
J9N7VEW0,3QJ2P6DM,Experiment_16,This is the write up for Experiment_16.,Instrument_2
DXU6RCXT,TMPBOPL7,Experiment_17,This is the write up for Experiment_17.,Instrument_2
815MXHRK,NR4B3VDY,Experiment_18,This is the write up for Experiment_18.,Instrument_2
87JZE3HZ,GM4FTHU3,Experiment_19,This is the write up for Experiment_19.,Instrument_3
UOLAQZ7A,T5JWHFSW,Experiment_20,This is the write up for Experiment_20.,Instrument_3
91YNRJ57,ED0JYGSM,Experiment_21,This is the write up for Experiment_21.,Instrument_3
AEG1BBQC,K4US2YFJ,Experiment_22,This is the write up for Experiment_22.,Instrument_3
9MN7KKRJ,Y1273P91,Experiment_23,This is the write up for Experiment_23.,Instrument_3
OQIJIZPK,L0NLW2T2,Experiment_24,This is the write up for Experiment_24.,Instrument_3
